subid,subage,trial,agent,discourseNovel,mutExNovel,pick,novelObject,correct,age_num,age,alignment,item
190530_4_com,2,2,Frog,left,left,carrot,t02,0,2.4874429223744294,0.452054794520548,congruent,carrot
190530_4_com,2,3,Bear,left,right,t11,t11,1,2.4874429223744294,0.452054794520548,incongruent,pawn
190530_4_com,2,4,Pig,right,right,t09,t09,1,2.4874429223744294,0.452054794520548,congruent,apple
190530_4_com,2,5,Cat,right,left,kite,t21,0,2.4874429223744294,0.452054794520548,incongruent,kite
190530_4_com,2,6,Elephant,right,left,barrel,t04,0,2.4874429223744294,0.452054794520548,incongruent,barrel
190530_4_com,2,7,Beaver,right,left,papaya,t08,0,2.4874429223744294,0.452054794520548,incongruent,papaya
190530_4_com,2,8,Bunny,left,right,t13,t13,1,2.4874429223744294,0.452054794520548,incongruent,duck
190530_4_com,2,9,Tiger,left,left,garlic,t12,0,2.4874429223744294,0.452054794520548,congruent,garlic
190530_4_com,2,10,Mouse,right,right,t01,t01,1,2.4874429223744294,0.452054794520548,congruent,bread
190530_4_com,2,11,Dog,left,right,t15,t15,1,2.4874429223744294,0.452054794520548,incongruent,eggplant
190530_4_com,2,12,Sheep,right,right,t07,t07,1,2.4874429223744294,0.452054794520548,congruent,horseshoe
190530_5_com,2,1,Sheep,left,right,t04,t04,1,2.747716894977169,0.7123287671232874,incongruent,pawn
190530_5_com,2,2,Bunny,right,left,t14,t14,1,2.747716894977169,0.7123287671232874,incongruent,duck
190530_5_com,2,3,Monkey,right,right,t09,t09,1,2.747716894977169,0.7123287671232874,congruent,carrot
190530_5_com,2,4,Mouse,right,right,t19,t19,1,2.747716894977169,0.7123287671232874,congruent,papaya
190530_5_com,2,5,Dog,left,left,t01,t01,1,2.747716894977169,0.7123287671232874,congruent,plug
190530_5_com,2,6,Pig,left,right,kite,t11,0,2.747716894977169,0.7123287671232874,incongruent,kite
190530_5_com,2,7,Elephant,right,right,t02,t02,1,2.747716894977169,0.7123287671232874,congruent,horseshoe
190530_5_com,2,8,Bear,right,left,t03,t03,1,2.747716894977169,0.7123287671232874,incongruent,eggplant
190530_5_com,2,9,Tiger,left,left,t12,t12,1,2.747716894977169,0.7123287671232874,congruent,apple
190530_5_com,2,10,Frog,left,left,t16,t16,1,2.747716894977169,0.7123287671232874,congruent,bread
190530_5_com,2,11,Cat,right,left,t07,t07,1,2.747716894977169,0.7123287671232874,incongruent,garlic
190530_5_com,2,12,Beaver,left,right,barrel,t20,0,2.747716894977169,0.7123287671232874,incongruent,barrel
190530_6_com,2,1,Pig,right,right,t14,t14,1,2.0901826484018264,0.05479452054794498,congruent,papaya
190530_6_com,2,2,Cat,left,right,t21,t21,1,2.0901826484018264,0.05479452054794498,incongruent,bread
190530_6_com,2,3,Frog,left,right,t01,t01,1,2.0901826484018264,0.05479452054794498,incongruent,barrel
190530_6_com,2,4,Dog,right,left,duck,t12,0,2.0901826484018264,0.05479452054794498,incongruent,duck
190530_6_com,2,5,Mouse,right,right,t20,t20,1,2.0901826484018264,0.05479452054794498,congruent,carrot
190530_6_com,2,6,Bear,left,left,eggplant,t08,0,2.0901826484018264,0.05479452054794498,congruent,eggplant
190530_7_com,3,1,Tiger,left,left,eggplant,t20,0,3.5340182648401828,1.4986301369863013,congruent,eggplant
190530_7_com,3,2,Mouse,right,left,t07,t07,1,3.5340182648401828,1.4986301369863013,incongruent,duck
190530_7_com,3,3,Bear,left,right,t09,t09,1,3.5340182648401828,1.4986301369863013,incongruent,garlic
190530_7_com,3,4,Sheep,left,right,t11,t11,1,3.5340182648401828,1.4986301369863013,incongruent,plug
190530_7_com,3,5,Pig,right,right,t04,t04,1,3.5340182648401828,1.4986301369863013,congruent,pawn
190530_7_com,3,6,Frog,right,right,t01,t01,1,3.5340182648401828,1.4986301369863013,congruent,carrot
190530_7_com,3,7,Cat,left,left,t03,t03,1,3.5340182648401828,1.4986301369863013,congruent,kite
190530_7_com,3,8,Bunny,right,left,t12,t12,1,3.5340182648401828,1.4986301369863013,incongruent,horseshoe
190530_7_com,3,9,Elephant,right,right,t14,t14,1,3.5340182648401828,1.4986301369863013,congruent,bread
190530_7_com,3,10,Beaver,right,left,t19,t19,1,3.5340182648401828,1.4986301369863013,incongruent,apple
190530_7_com,3,11,Dog,left,right,t16,t16,1,3.5340182648401828,1.4986301369863013,incongruent,papaya
190530_7_com,3,12,Monkey,left,left,t21,t21,1,3.5340182648401828,1.4986301369863013,congruent,barrel
